Player_ID,Max_Acceleration,Sprint_Count
Player_1,5316.9612,17
Player_10,4303.0959,29
Player_11,3480.0657,20
Player_12,4172.6972,20
Player_13,5607.6138,19
Player_14,4207.6869,26
Player_15,6386.1283,16
Player_16,6222.5629,20
Player_17,6015.0928,17
Player_18,1202.029,12
Player_19,2198.1841,9
Player_2,4721.9908,15
Player_20,2796.0578,12
Player_21,2438.4543,7
Player_22,3415.4762,13
Player_3,5655.4572,17
Player_4,5198.7436,17
Player_5,6890.8964,19
Player_6,4896.0675,17
Player_7,4540.8612,22
Player_8,5319.0681,25
Player_9,4643.6077,24
